2025-05-22 17:01:57,344 - root - INFO - Step: 30 | Loss: 7.82 | Tokens per second: 6585.10 | Training tokens per second (%): 91.93 | MFU (%): 30.30 | TFLOPs: 299.63
2025-05-22 17:01:58,028 - root - INFO - Step: 35 | Loss: 7.69 | Tokens per second: 6548.21 | Training tokens per second (%): 93.89 | MFU (%): 30.13 | TFLOPs: 297.95
2025-05-22 17:01:58,196 - root - INFO - Step: 35 | Loss: 7.69 | Tokens per second: 6427.71 | Training tokens per second (%): 93.89 | MFU (%): 29.57 | TFLOPs: 292.47
2025-05-22 17:01:58,816 - root - INFO - Step: 30 | Loss: 7.82 | Tokens per second: 6539.08 | Training tokens per second (%): 91.93 | MFU (%): 30.08 | TFLOPs: 297.54
2025-05-22 17:01:58,967 - root - INFO - Step: 35 | Loss: 7.69 | Tokens per second: 6474.03 | Training tokens per second (%): 93.89 | MFU (%): 29.79 | TFLOPs: 294.58
2025-05-22 17:01:59,616 - root - INFO - Step: 40 | Loss: 7.68 | Tokens per second: 6620.01 | Training tokens per second (%): 94.92 | MFU (%): 30.46 | TFLOPs: 301.22
2025-05-22 17:01:59,811 - root - INFO - Step: 40 | Loss: 7.68 | Tokens per second: 6509.01 | Training tokens per second (%): 94.92 | MFU (%): 29.95 | TFLOPs: 296.17
2025-05-22 17:02:00,445 - root - INFO - Step: 35 | Loss: 7.69 | Tokens per second: 6446.20 | Training tokens per second (%): 93.89 | MFU (%): 29.66 | TFLOPs: 293.31
2025-05-22 17:02:00,572 - root - INFO - Step: 40 | Loss: 7.68 | Tokens per second: 6545.70 | Training tokens per second (%): 94.92 | MFU (%): 30.12 | TFLOPs: 297.84
2025-05-22 17:02:01,210 - root - INFO - Step: 45 | Loss: 8.07 | Tokens per second: 6591.92 | Training tokens per second (%): 94.98 | MFU (%): 30.33 | TFLOPs: 299.94
2025-05-22 17:02:01,430 - root - INFO - Step: 45 | Loss: 8.07 | Tokens per second: 6487.02 | Training tokens per second (%): 94.98 | MFU (%): 29.85 | TFLOPs: 295.17
2025-05-22 17:02:02,063 - root - INFO - Step: 40 | Loss: 7.68 | Tokens per second: 6496.00 | Training tokens per second (%): 94.92 | MFU (%): 29.89 | TFLOPs: 295.58
2025-05-22 17:02:02,177 - root - INFO - Step: 45 | Loss: 8.07 | Tokens per second: 6550.78 | Training tokens per second (%): 94.98 | MFU (%): 30.14 | TFLOPs: 298.07
2025-05-22 17:02:02,807 - root - INFO - Step: 50 | Loss: 7.65 | Tokens per second: 6579.94 | Training tokens per second (%): 95.62 | MFU (%): 30.27 | TFLOPs: 299.40
2025-05-22 17:02:03,074 - root - INFO - Step: 50 | Loss: 7.65 | Tokens per second: 6386.01 | Training tokens per second (%): 95.62 | MFU (%): 29.38 | TFLOPs: 290.57
2025-05-22 17:02:03,716 - root - INFO - Step: 45 | Loss: 8.07 | Tokens per second: 6349.23 | Training tokens per second (%): 94.98 | MFU (%): 29.21 | TFLOPs: 288.90
2025-05-22 17:02:03,780 - root - INFO - Step: 50 | Loss: 7.65 | Tokens per second: 6502.59 | Training tokens per second (%): 95.62 | MFU (%): 29.92 | TFLOPs: 295.88
2025-05-22 17:02:04,403 - root - INFO - Step: 55 | Loss: 7.63 | Tokens per second: 6585.47 | Training tokens per second (%): 95.44 | MFU (%): 30.30 | TFLOPs: 299.65
2025-05-22 17:02:04,710 - root - INFO - Step: 55 | Loss: 7.63 | Tokens per second: 6419.96 | Training tokens per second (%): 95.44 | MFU (%): 29.54 | TFLOPs: 292.12
2025-05-22 17:02:05,362 - root - INFO - Step: 50 | Loss: 7.65 | Tokens per second: 6380.81 | Training tokens per second (%): 95.63 | MFU (%): 29.36 | TFLOPs: 290.34
2025-05-22 17:02:05,383 - root - INFO - Step: 55 | Loss: 7.63 | Tokens per second: 6459.05 | Training tokens per second (%): 95.44 | MFU (%): 29.72 | TFLOPs: 293.90
2025-05-22 17:02:06,006 - root - INFO - Step: 60 | Loss: 7.60 | Tokens per second: 6553.19 | Training tokens per second (%): 98.40 | MFU (%): 30.15 | TFLOPs: 298.18
2025-05-22 17:02:06,338 - root - INFO - Step: 60 | Loss: 7.60 | Tokens per second: 6450.36 | Training tokens per second (%): 98.40 | MFU (%): 29.68 | TFLOPs: 293.50
2025-05-22 17:02:06,975 - root - INFO - Step: 55 | Loss: 7.63 | Tokens per second: 6513.21 | Training tokens per second (%): 95.44 | MFU (%): 29.97 | TFLOPs: 296.36
2025-05-22 17:02:06,993 - root - INFO - Step: 60 | Loss: 7.60 | Tokens per second: 6447.70 | Training tokens per second (%): 98.40 | MFU (%): 29.66 | TFLOPs: 293.38
2025-05-22 17:02:07,618 - root - INFO - Step: 65 | Loss: 7.38 | Tokens per second: 6522.07 | Training tokens per second (%): 96.79 | MFU (%): 30.01 | TFLOPs: 296.76
2025-05-22 17:02:07,954 - root - INFO - Step: 65 | Loss: 7.38 | Tokens per second: 6433.37 | Training tokens per second (%): 96.79 | MFU (%): 29.60 | TFLOPs: 292.73
2025-05-22 17:02:08,590 - root - INFO - Step: 60 | Loss: 7.60 | Tokens per second: 6503.94 | Training tokens per second (%): 98.40 | MFU (%): 29.92 | TFLOPs: 295.94
2025-05-22 17:02:08,590 - root - INFO - Step: 65 | Loss: 7.38 | Tokens per second: 6581.28 | Training tokens per second (%): 96.79 | MFU (%): 30.28 | TFLOPs: 299.46
2025-05-22 17:02:09,230 - root - INFO - Step: 70 | Loss: 7.41 | Tokens per second: 6516.37 | Training tokens per second (%): 92.29 | MFU (%): 29.98 | TFLOPs: 296.50
2025-05-22 17:02:09,692 - root - INFO - Step: 70 | Loss: 7.41 | Tokens per second: 6034.85 | Training tokens per second (%): 92.29 | MFU (%): 27.76 | TFLOPs: 274.59
2025-05-22 17:02:10,195 - root - INFO - Step: 70 | Loss: 7.41 | Tokens per second: 6548.70 | Training tokens per second (%): 92.29 | MFU (%): 30.13 | TFLOPs: 297.98
2025-05-22 17:02:10,198 - root - INFO - Step: 65 | Loss: 7.38 | Tokens per second: 6533.63 | Training tokens per second (%): 96.79 | MFU (%): 30.06 | TFLOPs: 297.29
2025-05-22 17:02:10,824 - root - INFO - Step: 75 | Loss: 7.41 | Tokens per second: 6594.20 | Training tokens per second (%): 89.29 | MFU (%): 30.34 | TFLOPs: 300.05
2025-05-22 17:02:11,302 - root - INFO - Step: 75 | Loss: 7.41 | Tokens per second: 6528.57 | Training tokens per second (%): 89.29 | MFU (%): 30.04 | TFLOPs: 297.06
2025-05-22 17:02:11,789 - root - INFO - Step: 75 | Loss: 7.41 | Tokens per second: 6591.01 | Training tokens per second (%): 89.29 | MFU (%): 30.32 | TFLOPs: 299.90
2025-05-22 17:02:11,807 - root - INFO - Step: 70 | Loss: 7.41 | Tokens per second: 6529.62 | Training tokens per second (%): 92.29 | MFU (%): 30.04 | TFLOPs: 297.11
2025-05-22 17:02:12,420 - root - INFO - Step: 80 | Loss: 7.15 | Tokens per second: 6584.21 | Training tokens per second (%): 92.67 | MFU (%): 30.29 | TFLOPs: 299.59
2025-05-22 17:02:12,917 - root - INFO - Step: 80 | Loss: 7.15 | Tokens per second: 6504.50 | Training tokens per second (%): 92.67 | MFU (%): 29.93 | TFLOPs: 295.96
2025-05-22 17:02:13,394 - root - INFO - Step: 80 | Loss: 7.15 | Tokens per second: 6548.63 | Training tokens per second (%): 92.67 | MFU (%): 30.13 | TFLOPs: 297.97
2025-05-22 17:02:13,401 - root - INFO - Step: 75 | Loss: 7.41 | Tokens per second: 6592.71 | Training tokens per second (%): 89.29 | MFU (%): 30.33 | TFLOPs: 299.98
2025-05-22 17:02:14,023 - root - INFO - Step: 85 | Loss: 7.53 | Tokens per second: 6557.74 | Training tokens per second (%): 94.64 | MFU (%): 30.17 | TFLOPs: 298.39
