2025-05-22 16:03:07,368 - root - INFO - Step: 30 | Loss: 8.25 | Tokens per second: 8165.59 | Training tokens per second (%): 26.99 | MFU (%): 42.55 | TFLOPs: 420.86
2025-05-22 16:03:09,853 - root - INFO - Step: 35 | Loss: 7.74 | Tokens per second: 8205.93 | Training tokens per second (%): 13.78 | MFU (%): 42.76 | TFLOPs: 422.94
2025-05-22 16:03:09,858 - root - INFO - Step: 35 | Loss: 7.74 | Tokens per second: 8210.25 | Training tokens per second (%): 13.78 | MFU (%): 42.79 | TFLOPs: 423.17
2025-05-22 16:03:09,861 - root - INFO - Step: 35 | Loss: 7.74 | Tokens per second: 8207.74 | Training tokens per second (%): 13.78 | MFU (%): 42.77 | TFLOPs: 423.04
2025-05-22 16:03:09,862 - root - INFO - Step: 35 | Loss: 7.74 | Tokens per second: 8216.67 | Training tokens per second (%): 13.78 | MFU (%): 42.82 | TFLOPs: 423.50
2025-05-22 16:03:12,590 - root - INFO - Step: 40 | Loss: 8.41 | Tokens per second: 7507.56 | Training tokens per second (%): 9.95 | MFU (%): 39.13 | TFLOPs: 386.95
2025-05-22 16:03:12,590 - root - INFO - Step: 40 | Loss: 8.41 | Tokens per second: 7487.08 | Training tokens per second (%): 9.95 | MFU (%): 39.02 | TFLOPs: 385.89
2025-05-22 16:03:12,594 - root - INFO - Step: 40 | Loss: 8.41 | Tokens per second: 7486.82 | Training tokens per second (%): 9.95 | MFU (%): 39.02 | TFLOPs: 385.88
2025-05-22 16:03:12,602 - root - INFO - Step: 40 | Loss: 8.41 | Tokens per second: 7477.35 | Training tokens per second (%): 9.95 | MFU (%): 38.97 | TFLOPs: 385.39
2025-05-22 16:03:15,100 - root - INFO - Step: 45 | Loss: 7.98 | Tokens per second: 8162.32 | Training tokens per second (%): 15.59 | MFU (%): 42.54 | TFLOPs: 420.70
2025-05-22 16:03:15,103 - root - INFO - Step: 45 | Loss: 7.98 | Tokens per second: 8166.73 | Training tokens per second (%): 15.59 | MFU (%): 42.56 | TFLOPs: 420.92
2025-05-22 16:03:15,107 - root - INFO - Step: 45 | Loss: 7.98 | Tokens per second: 8140.49 | Training tokens per second (%): 15.59 | MFU (%): 42.42 | TFLOPs: 419.57
2025-05-22 16:03:15,111 - root - INFO - Step: 45 | Loss: 7.98 | Tokens per second: 8166.75 | Training tokens per second (%): 15.59 | MFU (%): 42.56 | TFLOPs: 420.92
2025-05-22 16:03:17,657 - root - INFO - Step: 50 | Loss: 8.31 | Tokens per second: 8012.58 | Training tokens per second (%): 10.93 | MFU (%): 41.76 | TFLOPs: 412.98
2025-05-22 16:03:17,663 - root - INFO - Step: 50 | Loss: 8.31 | Tokens per second: 8002.69 | Training tokens per second (%): 10.93 | MFU (%): 41.71 | TFLOPs: 412.47
2025-05-22 16:03:17,664 - root - INFO - Step: 50 | Loss: 8.31 | Tokens per second: 8010.23 | Training tokens per second (%): 10.93 | MFU (%): 41.74 | TFLOPs: 412.86
2025-05-22 16:03:17,669 - root - INFO - Step: 50 | Loss: 8.31 | Tokens per second: 8009.05 | Training tokens per second (%): 10.93 | MFU (%): 41.74 | TFLOPs: 412.80
2025-05-22 16:03:20,166 - root - INFO - Step: 55 | Loss: 8.58 | Tokens per second: 8169.05 | Training tokens per second (%): 28.32 | MFU (%): 42.57 | TFLOPs: 421.04
2025-05-22 16:03:20,170 - root - INFO - Step: 55 | Loss: 8.58 | Tokens per second: 8176.09 | Training tokens per second (%): 28.32 | MFU (%): 42.61 | TFLOPs: 421.41
2025-05-22 16:03:20,170 - root - INFO - Step: 55 | Loss: 8.58 | Tokens per second: 8175.29 | Training tokens per second (%): 28.32 | MFU (%): 42.61 | TFLOPs: 421.36
2025-05-22 16:03:20,173 - root - INFO - Step: 55 | Loss: 8.58 | Tokens per second: 8182.12 | Training tokens per second (%): 28.32 | MFU (%): 42.64 | TFLOPs: 421.72
2025-05-22 16:03:22,687 - root - INFO - Step: 60 | Loss: 8.13 | Tokens per second: 8126.38 | Training tokens per second (%): 26.71 | MFU (%): 42.35 | TFLOPs: 418.84
2025-05-22 16:03:22,691 - root - INFO - Step: 60 | Loss: 8.13 | Tokens per second: 8126.50 | Training tokens per second (%): 26.71 | MFU (%): 42.35 | TFLOPs: 418.85
2025-05-22 16:03:22,691 - root - INFO - Step: 60 | Loss: 8.13 | Tokens per second: 8125.79 | Training tokens per second (%): 26.71 | MFU (%): 42.35 | TFLOPs: 418.81
2025-05-22 16:03:22,696 - root - INFO - Step: 60 | Loss: 8.13 | Tokens per second: 8122.18 | Training tokens per second (%): 26.71 | MFU (%): 42.33 | TFLOPs: 418.63
2025-05-22 16:03:25,194 - root - INFO - Step: 65 | Loss: 8.54 | Tokens per second: 8174.28 | Training tokens per second (%): 24.18 | MFU (%): 42.60 | TFLOPs: 421.31
